School Name,Rank in America,District,State,School Grade Level,Rating,User Reviews,Overall Niche Grade,School Strength,Student Teacher Ratio,Extracted Date
San Augustine High School,nan,San Augustine Ind School District,TX,6-12,3.5,25,C+,339,9:1,2019-03-18 22:11:28.937158
Oakley Elementary School,nan,New Caney Ind School District,TX,"PK, K-5",nan,nan,C+,806,17:1,2019-03-18 22:11:28.937165
Kennedy Elementary School,nan,Edcouch-Elsa Ind School District,TX,1-5,nan,nan,C+,506,17:1,2019-03-18 22:11:28.937171
Daniel Ramirez Elementary School,nan,Pharr-San Juan-Alamo Ind School District,TX,"PK, K-5",nan,nan,C+,569,16:1,2019-03-18 22:11:28.937177
A Maceo Smith New Tech High School,nan,Dallas Ind School District,TX,9-12,4.0,118,C+,433,17:1,2019-03-18 22:11:28.937184
IDEA College Prep - Pharr,nan,Pharr,TX,6-11,4.0,27,C+,676,18:1,2019-03-18 22:11:28.937191
A P Solis Middle School,nan,Donna Ind School District,TX,6-8,nan,nan,C+,710,9:1,2019-03-18 22:11:28.937198
Grand Saline Intermediate School,nan,Grand Saline Ind School District,TX,3-5,nan,nan,C+,224,12:1,2019-03-18 22:11:28.937204
Bluebonnet Trail Elementary School,nan,Manor Ind School District,TX,"PK, K-5",nan,nan,C+,542,16:1,2019-03-18 22:11:28.937210
McCamey Middle School,nan,McCamey Ind School District,TX,5-8,5.0,1,C+,180,15:1,2019-03-18 22:11:28.937217
Ferris High School,nan,Ferris Ind School District,TX,9-12,4.0,146,C+,684,16:1,2019-03-18 22:11:28.937224
George Herbert Walker Bush Elementary School,nan,Dallas Ind School District,TX,"PK, K-5",nan,nan,C+,687,17:1,2019-03-18 22:11:28.937231
Gilmer Elementary School,nan,Gilmer Ind School District,TX,"PK, K-4",nan,nan,C+,993,14:1,2019-03-18 22:11:28.937239
Harmony School of Fine Arts & Technology,nan,Houston,TX,K-8,3.0,2,C+,734,17:1,2019-03-18 22:11:28.937246
Fort Stockton High School,nan,Fort Stockton Ind School District,TX,9-12,3.5,38,C+,652,15:1,2019-03-18 22:11:28.937252
West Main Elementary School,nan,Lancaster Ind School District,TX,"PK, K-5",5.0,1,C+,282,18:1,2019-03-18 22:11:28.937260
Overton Elementary School,nan,Lubbock Ind School District,TX,"PK, K-5",nan,nan,C+,377,12:1,2019-03-18 22:11:28.937284
Naomi Pasemann Elementary School,nan,Taylor Ind School District,TX,1-3,nan,nan,C+,670,16:1,2019-03-18 22:11:28.937293
IDEA Weslaco Pike Academy,nan,Weslaco,TX,K-3,nan,nan,C+,476,24:1,2019-03-18 22:11:28.937300
